PROPERTYID,LOCATION,STATE,CITY,STATEID,SQFT,SQFT_VACANCY,PURCHASE_DATE,PURCHASE_YEAR,PURCHASE_PRICE,DESC_TYPENN,DESC_TYPEPROPERTY,RENT_ANCHOR,RENT_ALL,RENT_DIFFERENCE,MJ_OWNER,OPT_LEASE,CAPRATE,TENANTID,TENANTNAME,DESC_TYPEMGMT,ENTERPRISEID,DESC_COMPANIE,LOAN_COUNT,LOAN_UPB,PORTFOLIOID,PORTFOLIONAME,ADMIN_ENTITYID,ADMIN_ENTITY,DESC_TYPETENANT,DESC_CATEGORY,NROTENANT,UNITQTD
354,TX-Spring,Texas,Spring                                             ,TX  ,13013.0,0.0,2023-04-14 00:00:00,2023,4350000.0,NN,CLIENT,299689.39,299689.39,0.0,Client_0161 **,Y (1),6.889,1.0,Tenant_0001,Fin & Prop          ,414.0,Entity_0414,0,0.0,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
355,TN-Franklin,Tennessee,Franklin,TN  ,10880.0,0.0,2023-05-03 00:00:00,2023,3950000.0,NNN,CLIENT,273117.9,273117.9,0.0,Client_0161 **,Y (2),6.914,1.0,Tenant_0001,Fin & Prop          ,416.0,Entity_0416,0,0.0,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
356,AR-Benton,Arkansas,Benton,AR  ,74870.0,0.0,2023-05-09 00:00:00,2023,9340000.0,NN,JV,473907.0,722343.76,248436.76,Client_0148 **,,7.734,14.0,Tenant_0014,Fin & Prop          ,415.0,Entity_0415,1,5543530.04,3,L2B               ,338.0,AE_0338   ,MULTI-TENANT,NON-PHARMACY,9,9
357,TX-Dallas,Texas,Dallas                                             ,TX  ,11761.0,11759.0,2023-03-13 00:00:00,2023,125000.0,NNN,JV,0.0,0.0,0.0,Client_0122 **,,,,,Fin & Prop          ,418.0,Entity_0418,0,0.0,3,L2B               ,338.0,AE_0338   ,SINGLE TENANT,NON-PHARMACY,0,1
358,TX-Longview,Texas,Longview,TX  ,10908.0,0.0,2023-06-07 00:00:00,2023,3500000.0,NNN,CLIENT,228718.23,228718.23,0.0,Client_0160 **,Y (1),6.535,1.0,Tenant_0001,Fin & Prop          ,420.0,Entity_0420,1,2324134.84,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
359,FL-Fort Pierce,Florida,Fort Pierce,FL  ,11970.0,0.0,2023-05-18 00:00:00,2023,4788000.0,NN,CLIENT,287280.0,287280.0,0.0,Client_0161 **,Y (1),6.0,1.0,Tenant_0001,Fin & Prop          ,419.0,Entity_0419,0,0.0,5,3RD               ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
360,MA-Pittsfield,Massachusetts,Pittsfield,MA  ,72119.0,2000.0,2023-08-15 00:00:00,2023,6363539.0,NN,JV,309675.0,476288.6,166613.59999999998,Client_0079 **,Y (2),7.485,180.0,Tenant_0180,Fin & Prop          ,423.0,Entity_0423,1,4462841.66,1,L2-ALL            ,338.0,AE_0338   ,MULTI-TENANT,NON-PHARMACY,4,5
361,MI-Jackson,Michigan,Jackson,MI  ,110070.0,37406.0,2023-08-18 00:00:00,2023,8000000.0,NN,JV,290184.0,431180.28,140996.28000000003,Client_0148 **,Y (1),5.39,14.0,Tenant_0014,Fin & Prop          ,424.0,Entity_0424,1,5149849.58,3,L2B               ,338.0,AE_0338   ,MULTI-TENANT,NON-PHARMACY,3,6
362,SC-Murrells Inlet,South Carolina,Murrells Inlet,SC  ,13125.0,0.0,2023-08-22 00:00:00,2023,4500000.0,NN,CLIENT,290095.92,290095.92,0.0,Client_0160 **,Y (1),6.447,1.0,Tenant_0001,Fin & Prop          ,425.0,Entity_0425,1,3074526.0,1,L2-ALL            ,400.0,AE_0400   ,SINGLE TENANT,PHARMACY,1,1
363,CO-Steamboat Springs,Colorado,Steamboat Springs,CO  ,5160.0,0.0,2020-09-04 00:00:00,2020,4400000.0,NN,LJL,0.0,0.0,0.0,Client_0001 **,Y (1),0.0,194.0,Tenant_0194,Fin & Prop          ,354.0,Entity_0354,1,2925000.0,4,LJL               ,6.0,AE_0006   ,SINGLE TENANT,NON-PHARMACY,0,1
