YEARID,MONTHID,ENTERPRISEID,ENTEPRISENAME,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2020,6,23,Entity_0023,1.0,L2-ALL,-12114.46
2020,7,23,Entity_0023,1.0,L2-ALL,-13018.96
2020,8,23,Entity_0023,1.0,L2-ALL,-13261.34
2020,9,23,Entity_0023,1.0,L2-ALL,-13192.79
2020,10,23,Entity_0023,1.0,L2-ALL,-13194.68
2020,11,23,Entity_0023,1.0,L2-ALL,-11921.87
2020,12,23,Entity_0023,1.0,L2-ALL,89118.34
2020,1,24,Entity_0024,1.0,L2-ALL,-14991.81
2020,2,24,Entity_0024,1.0,L2-ALL,-10214.12
2020,3,24,Entity_0024,1.0,L2-ALL,-8398.48
2020,4,24,Entity_0024,1.0,L2-ALL,-7800.7
2020,5,24,Entity_0024,1.0,L2-ALL,35011.73
2020,6,24,Entity_0024,1.0,L2-ALL,39980.03
2020,7,24,Entity_0024,1.0,L2-ALL,-10507.7
2020,8,24,Entity_0024,1.0,L2-ALL,-10709.94
2020,9,24,Entity_0024,1.0,L2-ALL,-10609.53
2020,10,24,Entity_0024,1.0,L2-ALL,-10612.27
2020,11,24,Entity_0024,1.0,L2-ALL,-10236.12
2020,12,24,Entity_0024,1.0,L2-ALL,140517.08
2020,1,25,Entity_0025,1.0,L2-ALL,-17880.19
2020,2,25,Entity_0025,1.0,L2-ALL,-12869.34
2020,3,25,Entity_0025,1.0,L2-ALL,-10985.57
2020,4,25,Entity_0025,1.0,L2-ALL,-11954.87
2020,5,25,Entity_0025,1.0,L2-ALL,-11488.55
2020,6,25,Entity_0025,1.0,L2-ALL,-11640.75
2020,7,25,Entity_0025,1.0,L2-ALL,-13186.28
2020,8,25,Entity_0025,1.0,L2-ALL,-13383.76
2020,9,25,Entity_0025,1.0,L2-ALL,-13021.76
2020,10,25,Entity_0025,1.0,L2-ALL,-13282.43
2020,11,25,Entity_0025,1.0,L2-ALL,-12892.15
2020,12,25,Entity_0025,1.0,L2-ALL,111778.96
2020,1,26,Entity_0026,1.0,L2-ALL,-10182.73
2020,2,26,Entity_0026,1.0,L2-ALL,-7031.15
2020,3,26,Entity_0026,1.0,L2-ALL,-5789.25
2020,4,26,Entity_0026,1.0,L2-ALL,-6428.28
2020,5,26,Entity_0026,1.0,L2-ALL,-6120.85
2020,6,26,Entity_0026,1.0,L2-ALL,-6221.2
2020,7,26,Entity_0026,1.0,L2-ALL,-7128.08
2020,8,26,Entity_0026,1.0,L2-ALL,-7370.28
2020,9,26,Entity_0026,1.0,L2-ALL,-7301.62
2020,10,26,Entity_0026,1.0,L2-ALL,-7303.51
2020,11,26,Entity_0026,1.0,L2-ALL,-7046.2
2020,12,26,Entity_0026,1.0,L2-ALL,55563.18
2020,1,27,Entity_0027,1.0,L2-ALL,-17867.07
2020,2,27,Entity_0027,1.0,L2-ALL,-13369.65
2020,3,27,Entity_0027,1.0,L2-ALL,-8356.52
2020,4,27,Entity_0027,1.0,L2-ALL,-12302.57
2020,5,27,Entity_0027,1.0,L2-ALL,31702.56
2020,6,27,Entity_0027,1.0,L2-ALL,3750.96
2020,7,27,Entity_0027,1.0,L2-ALL,-13204.32
2020,8,27,Entity_0027,1.0,L2-ALL,-13969.92
2020,9,27,Entity_0027,1.0,L2-ALL,-13848.36
2020,10,27,Entity_0027,1.0,L2-ALL,-5483.04
2020,11,27,Entity_0027,1.0,L2-ALL,-3418.28
2020,12,27,Entity_0027,1.0,L2-ALL,50953.19
2020,1,28,Entity_0028,1.0,L2-ALL,-10327.89
2020,2,28,Entity_0028,1.0,L2-ALL,-10206.52
2020,3,28,Entity_0028,1.0,L2-ALL,-11157.93
2020,4,28,Entity_0028,1.0,L2-ALL,-7235.76
2020,5,28,Entity_0028,1.0,L2-ALL,41886.21
2020,6,28,Entity_0028,1.0,L2-ALL,-10069.99
2020,7,28,Entity_0028,1.0,L2-ALL,-10220.38
2020,8,28,Entity_0028,1.0,L2-ALL,-9669.91
2020,9,28,Entity_0028,1.0,L2-ALL,-9342.58
2020,10,28,Entity_0028,1.0,L2-ALL,-8442.13
2020,11,28,Entity_0028,1.0,L2-ALL,-10107.43
2020,12,28,Entity_0028,1.0,L2-ALL,53047.0
2020,1,29,Entity_0029,1.0,L2-ALL,-9605.26
2020,2,29,Entity_0029,1.0,L2-ALL,-8841.88
2020,3,29,Entity_0029,1.0,L2-ALL,-8359.4
2020,4,29,Entity_0029,1.0,L2-ALL,-6497.25
2020,5,29,Entity_0029,1.0,L2-ALL,33917.46
2020,6,29,Entity_0029,1.0,L2-ALL,-8311.68
2020,7,29,Entity_0029,1.0,L2-ALL,-8272.0
