PKRECORD,YEARID,MONTHID,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2023_04_4.0,2023,4,4.0,LJL,-26444.22
2023_04_5.0,2023,4,5.0,3RD,-18282.5
2023_05_1.0,2023,5,1.0,L2-ALL,1405649.97
2023_05_3.0,2023,5,3.0,L2B,718954.95
2023_05_4.0,2023,5,4.0,LJL,-36037.51
2023_05_5.0,2023,5,5.0,3RD,7370.96
2023_06_1.0,2023,6,1.0,L2-ALL,2194254.2
2023_06_3.0,2023,6,3.0,L2B,420837.78
2023_06_4.0,2023,6,4.0,LJL,-36640.46
2023_06_5.0,2023,6,5.0,3RD,-3994.05
2023_07_1.0,2023,7,1.0,L2-ALL,3182576.55
2023_07_3.0,2023,7,3.0,L2B,430551.84
2023_07_4.0,2023,7,4.0,LJL,-36298.96
2023_07_5.0,2023,7,5.0,3RD,47880.0
2023_08_1.0,2023,8,1.0,L2-ALL,1941396.98
2023_08_3.0,2023,8,3.0,L2B,36472.25
2023_08_4.0,2023,8,4.0,LJL,-26542.71
2023_08_5.0,2023,8,5.0,3RD,23940.0
2023_09_1.0,2023,9,1.0,L2-ALL,1804018.33
2023_09_3.0,2023,9,3.0,L2B,688046.38
2023_09_4.0,2023,9,4.0,LJL,-20881.17
2023_09_5.0,2023,9,5.0,3RD,23940.0
2023_10_1.0,2023,10,1.0,L2-ALL,1970205.44
2023_10_3.0,2023,10,3.0,L2B,1225399.55
2023_10_4.0,2023,10,4.0,LJL,-31049.2
2023_10_5.0,2023,10,5.0,3RD,21672.5
2023_11_1.0,2023,11,1.0,L2-ALL,1776758.03
2023_11_3.0,2023,11,3.0,L2B,401851.55
2023_11_4.0,2023,11,4.0,LJL,-20615.75
2023_11_5.0,2023,11,5.0,3RD,23240.0
2023_12_1.0,2023,12,1.0,L2-ALL,-4419530.62
2023_12_3.0,2023,12,3.0,L2B,-817055.03
2023_12_4.0,2023,12,4.0,LJL,-35009.61
2023_12_5.0,2023,12,5.0,3RD,23445.0
2024_01_1.0,2024,1,1.0,L2-ALL,2958733.55
2024_01_3.0,2024,1,3.0,L2B,526482.49
2024_01_4.0,2024,1,4.0,LJL,-54433.06
2024_01_5.0,2024,1,5.0,3RD,23940.0
2024_02_1.0,2024,2,1.0,L2-ALL,2671344.1
2024_02_3.0,2024,2,3.0,L2B,732791.27
