YEARID,ENTERPRISEID,ENTEPRISENAME,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2021,22,Entity_0022,1.0,L2-ALL,-101703.09
2021,23,Entity_0023,1.0,L2-ALL,-53185.9
2021,24,Entity_0024,1.0,L2-ALL,22009.57
2021,25,Entity_0025,1.0,L2-ALL,-36760.58
2021,26,Entity_0026,1.0,L2-ALL,-41475.18
2021,27,Entity_0027,1.0,L2-ALL,-121999.38
2021,28,Entity_0028,1.0,L2-ALL,-77648.64
2021,29,Entity_0029,1.0,L2-ALL,-53830.87
2021,32,Entity_0032,1.0,L2-ALL,-35974.34
2021,34,Entity_0034,1.0,L2-ALL,-26272.68
2021,35,Entity_0035,1.0,L2-ALL,-174488.99
2021,41,Entity_0041,1.0,L2-ALL,-235664.34
2021,43,Entity_0043,1.0,L2-ALL,-53902.09
2021,44,Entity_0044,1.0,L2-ALL,-51118.14
2021,46,Entity_0046,1.0,L2-ALL,-61770.51
2021,47,Entity_0047,1.0,L2-ALL,-38789.1
2021,48,Entity_0048,1.0,L2-ALL,-20723.29
2021,49,Entity_0049,1.0,L2-ALL,-126109.36
2021,51,Entity_0051,1.0,L2-ALL,-140589.73
2021,55,Entity_0055,1.0,L2-ALL,-103555.78
2021,57,Entity_0057,1.0,L2-ALL,-137778.64
2021,60,Entity_0060,1.0,L2-ALL,-73984.53
2021,63,Entity_0063,1.0,L2-ALL,-180895.76
2021,64,Entity_0064,1.0,L2-ALL,-168088.19
2021,65,Entity_0065,1.0,L2-ALL,-291012.03
2021,66,Entity_0066,1.0,L2-ALL,-296859.03
2021,88,Entity_0088,1.0,L2-ALL,-241780.01
2021,99,Entity_0099,3.0,L2B,-99697.3
2021,101,Entity_0101,3.0,L2B,-141192.96
2021,102,Entity_0102,3.0,L2B,-152287.35
2021,103,Entity_0103,3.0,L2B,-144287.06
2021,104,Entity_0104,3.0,L2B,-78684.52
2021,105,Entity_0105,1.0,L2-ALL,-145404.62
2021,107,Entity_0107,1.0,L2-ALL,-88624.66
2021,108,Entity_0108,1.0,L2-ALL,-174350.2
2021,110,Entity_0110,1.0,L2-ALL,-63420.78
2021,111,Entity_0111,1.0,L2-ALL,-121044.26
2021,113,Entity_0113,1.0,L2-ALL,-116599.08
2021,115,Entity_0115,1.0,L2-ALL,-145877.26
2021,121,Entity_0121,1.0,L2-ALL,-122265.42
2021,129,Entity_0129,1.0,L2-ALL,-80990.37
2021,131,Entity_0131,1.0,L2-ALL,-105966.39
2021,132,Entity_0132,1.0,L2-ALL,-35585.51
2021,139,Entity_0139,1.0,L2-ALL,-40081.0
2021,142,Entity_0142,3.0,L2B,-224084.92
2021,144,Entity_0144,1.0,L2-ALL,-145340.73
2021,145,Entity_0145,1.0,L2-ALL,-80988.17
2021,146,Entity_0146,1.0,L2-ALL,-87639.19
2021,148,Entity_0148,1.0,L2-ALL,-111190.8
2021,153,Entity_0153,1.0,L2-ALL,-158519.7
2021,155,Entity_0155,1.0,L2-ALL,-248187.83
2021,157,Entity_0157,1.0,L2-ALL,-161447.78
2021,160,Entity_0160,1.0,L2-ALL,-175383.43
2021,164,Entity_0164,1.0,L2-ALL,-153217.98
2021,165,Entity_0165,1.0,L2-ALL,-101014.7
2021,166,Entity_0166,1.0,L2-ALL,908857.53
2021,167,Entity_0167,1.0,L2-ALL,795101.07
2021,169,Entity_0169,1.0,L2-ALL,-119091.62
2021,173,Entity_0173,1.0,L2-ALL,-137346.11
2021,174,Entity_0174,1.0,L2-ALL,-167965.4
2021,175,Entity_0175,1.0,L2-ALL,-118844.65
2021,176,Entity_0176,1.0,L2-ALL,-295263.26
2021,177,Entity_0177,1.0,L2-ALL,-146977.36
2021,178,Entity_0178,1.0,L2-ALL,-168513.86
2021,186,Entity_0186,1.0,L2-ALL,-28129.83
2021,188,Entity_0188,1.0,L2-ALL,-86358.38
2021,189,Entity_0189,1.0,L2-ALL,-146654.83
2021,190,Entity_0190,1.0,L2-ALL,-171914.36
2021,192,Entity_0192,1.0,L2-ALL,-30388.93
2021,193,Entity_0193,1.0,L2-ALL,-36275.93
2021,196,Entity_0196,1.0,L2-ALL,-137217.47
2021,200,Entity_0200,1.0,L2-ALL,-125493.17
2021,201,Entity_0201,1.0,L2-ALL,-114584.02
2021,212,Entity_0212,1.0,L2-ALL,-727049.93
2021,214,Entity_0214,1.0,L2-ALL,-111025.91
2021,216,Entity_0216,1.0,L2-ALL,-150220.87
2021,218,Entity_0218,1.0,L2-ALL,-137678.13
2021,224,Entity_0224,3.0,L2B,-452450.32
2021,226,Entity_0226,1.0,L2-ALL,-38176.95
2021,231,Entity_0231,1.0,L2-ALL,-197582.71
